Genre Name,Count,Link
10th-century,6868,https://www.goodreads.com/genres/10th-century
11th-century,8408,https://www.goodreads.com/genres/11th-century
12th-century,12680,https://www.goodreads.com/genres/12th-century
13th-century,11123,https://www.goodreads.com/genres/13th-century
14th-century,18196,https://www.goodreads.com/genres/14th-century
15th-century,21308,https://www.goodreads.com/genres/15th-century
16th-century,59659,https://www.goodreads.com/genres/16th-century
17th-century,74061,https://www.goodreads.com/genres/17th-century
1864-shenandoah-campaign,37,https://www.goodreads.com/genres/1864-shenandoah-campaign
18th-century,129803,https://www.goodreads.com/genres/18th-century
1917,2067,https://www.goodreads.com/genres/1917
19th-century,499349,https://www.goodreads.com/genres/19th-century
1st-grade,80428,https://www.goodreads.com/genres/1st-grade
20th-century,981296,https://www.goodreads.com/genres/20th-century
21st-century,651441,https://www.goodreads.com/genres/21st-century
2nd-grade,82367,https://www.goodreads.com/genres/2nd-grade
40k,22963,https://www.goodreads.com/genres/40k
ableism,2587,https://www.goodreads.com/genres/ableism
abuse,448272,https://www.goodreads.com/genres/abuse
academia,195639,https://www.goodreads.com/genres/academia
academic,444844,https://www.goodreads.com/genres/academic
academics,76878,https://www.goodreads.com/genres/academics
accounting,7278,https://www.goodreads.com/genres/accounting
accra,601,https://www.goodreads.com/genres/accra
action,944220,https://www.goodreads.com/genres/action
activism,90995,https://www.goodreads.com/genres/activism
adaptations,109643,https://www.goodreads.com/genres/adaptations
addis-ababa,66,https://www.goodreads.com/genres/addis-ababa
addition,4736,https://www.goodreads.com/genres/addition
adhd,19214,https://www.goodreads.com/genres/adhd
adolescence,150965,https://www.goodreads.com/genres/adolescence
adoption,79686,https://www.goodreads.com/genres/adoption
adult,3481405,https://www.goodreads.com/genres/adult
adult-colouring-books,317,https://www.goodreads.com/genres/adult-colouring-books
adult-fiction,1665300,https://www.goodreads.com/genres/adult-fiction
adventure,2208246,https://www.goodreads.com/genres/adventure
adventurers,7955,https://www.goodreads.com/genres/adventurers
漫画,42467,https://www.goodreads.com/genres/%E6%BC%AB%E7%94%BB
aeroplanes,872,https://www.goodreads.com/genres/aeroplanes
africa,313919,https://www.goodreads.com/genres/africa
african-american,186054,https://www.goodreads.com/genres/african-american
african-american-literature,29401,https://www.goodreads.com/genres/african-american-literature
african-american-romance,13878,https://www.goodreads.com/genres/african-american-romance
african-literature,35781,https://www.goodreads.com/genres/african-literature
agender,292,https://www.goodreads.com/genres/agender
agriculture,25663,https://www.goodreads.com/genres/agriculture
ahistory,42,https://www.goodreads.com/genres/ahistory
aircraft,3590,https://www.goodreads.com/genres/aircraft
airliners,20,https://www.goodreads.com/genres/airliners
airships,2621,https://www.goodreads.com/genres/airships
albanian-literature,2051,https://www.goodreads.com/genres/albanian-literature
alchemy,32859,https://www.goodreads.com/genres/alchemy
alcohol,27651,https://www.goodreads.com/genres/alcohol
alexandria,40610,https://www.goodreads.com/genres/alexandria
algebra,2852,https://www.goodreads.com/genres/algebra
algeria,10439,https://www.goodreads.com/genres/algeria
algiers,1244,https://www.goodreads.com/genres/algiers
algorithms,7418,https://www.goodreads.com/genres/algorithms
aliens,275263,https://www.goodreads.com/genres/aliens
alternate-history,196888,https://www.goodreads.com/genres/alternate-history
alternate-universe,98339,https://www.goodreads.com/genres/alternate-universe
alternative-medicine,8078,https://www.goodreads.com/genres/alternative-medicine
amateur-sleuth,32766,https://www.goodreads.com/genres/amateur-sleuth
amazon,1063020,https://www.goodreads.com/genres/amazon
ambulances,466,https://www.goodreads.com/genres/ambulances
ambulance-service,18,https://www.goodreads.com/genres/ambulance-service
american,918775,https://www.goodreads.com/genres/american
americana,243681,https://www.goodreads.com/genres/americana
american-civil-war,39625,https://www.goodreads.com/genres/american-civil-war
american-classics,110802,https://www.goodreads.com/genres/american-classics
american-fiction,190962,https://www.goodreads.com/genres/american-fiction
american-history,388638,https://www.goodreads.com/genres/american-history
american-novels,51753,https://www.goodreads.com/genres/american-novels
american-revolution,33752,https://www.goodreads.com/genres/american-revolution
american-revolutionary-war,3328,https://www.goodreads.com/genres/american-revolutionary-war
amish,70011,https://www.goodreads.com/genres/amish
amish-fiction,18507,https://www.goodreads.com/genres/amish-fiction
amish-historical-romance-fiction,959,https://www.goodreads.com/genres/amish-historical-romance-fiction
ancient,119210,https://www.goodreads.com/genres/ancient
ancient-history,142179,https://www.goodreads.com/genres/ancient-history
androgyne,1147,https://www.goodreads.com/genres/androgyne
angels,241369,https://www.goodreads.com/genres/angels
